seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1259808	1259938	131	*	X00008	80772	1260143	1264276	4134	+	204	upstream	204	CPTP
chr1	1259808	1259938	131	*	X00008	54973	1246965	1260067	13103	-	0	inside	128	INTS11
chr1	2936997	2937161	165	*	X00214	140625	2938046	2939467	1422	+	884	upstream	884	ACTRT2
chr1	3043141	3043395	255	*	X00310	100422968	3044539	3044599	61	+	1143	upstream	1143	MIR4251
chr1	3043874	3043978	105	*	X00311	100422968	3044539	3044599	61	+	560	upstream	560	MIR4251
chr1	3044396	3044653	258	*	X00312	100422968	3044539	3044599	61	+	0	includeFeature	0	MIR4251
chr1	3999423	3999542	120	*	X00604	728716	4000672	4012643	11972	+	1129	upstream	1129	LINC01346
chr1	4000788	4000982	195	*	X00605	728716	4000672	4012643	11972	+	0	inside	115	LINC01346
chr1	5623953	5624162	210	*	X00978	100616489	5624131	5624203	73	+	0	overlapStart	0	NA
chr1	11537474	11537608	135	*	X01348	57540	11539295	11597640	58346	+	1686	upstream	1686	DISP3
chr1	11919159	11919246	88	*	X01468	4879	11917521	11918992	1472	-	166	upstream	166	NPPB
chr1	11920934	11921093	160	*	X01469	4879	11917521	11918992	1472	-	1941	upstream	1941	NPPB
chr1	12834987	12835121	135	*	X01490	390999	12834984	12838048	3065	+	0	inside	2	PRAMEF12
chr1	13841602	13841808	207	*	X01532	126755	13801445	13840242	38798	-	1359	upstream	1359	LRRC38
chr1	13908312	13908536	225	*	X01545	10630	13910252	13944452	34201	+	1715	upstream	1715	PDPN
chr1	19185833	19185965	133	*	X02224	80834	19166093	19186155	20063	-	0	inside	189	TAS1R2
chr1	19186270	19186271	2	*	X02225	80834	19166093	19186155	20063	-	114	upstream	114	TAS1R2
chr1	19188096	19188245	150	*	X02226	80834	19166093	19186155	20063	-	1940	upstream	1940	TAS1R2
chr1	20307131	20307265	135	*	X02276	5320	20301924	20306932	5009	-	198	upstream	198	PLA2G2A
chr1	20354707	20354826	120	*	X02278	5322	20354672	20418394	63723	+	0	inside	34	PLA2G5
chr1	20445808	20446040	233	*	X02318	26279	20439143	20446059	6917	-	0	inside	18	PLA2G2D
chr1	20447568	20447687	120	*	X02319	26279	20439143	20446059	6917	-	1508	upstream	1508	PLA2G2D
chr1	20463703	20463837	135	*	X02320	64600	20465823	20476879	11057	+	1985	upstream	1985	PLA2G2F
chr1	20464348	20464652	305	*	X02321	64600	20465823	20476879	11057	+	1170	upstream	1170	PLA2G2F
chr1	20464758	20464849	92	*	X02322	64600	20465823	20476879	11057	+	973	upstream	973	PLA2G2F
chr1	20465268	20465462	195	*	X02323	64600	20465823	20476879	11057	+	360	upstream	360	PLA2G2F
chr1	20465728	20465847	120	*	X02324	64600	20465823	20476879	11057	+	0	overlapStart	0	PLA2G2F
chr1	20502874	20502919	46	*	X02340	391013	20490484	20501687	11204	-	1186	upstream	1186	PLA2G2C
chr1	20512216	20512390	175	*	X02343	127733	20512578	20519942	7365	+	187	upstream	187	UBXN10
chr1	20512780	20512785	6	*	X02344	127733	20512578	20519942	7365	+	0	inside	201	UBXN10
chr1	20615812	20615901	90	*	X02381	127731	20617412	20681387	63976	+	1510	upstream	1510	VWA5B1
chr1	20616037	20616216	180	*	X02382	127731	20617412	20681387	63976	+	1195	upstream	1195	VWA5B1
chr1	20617059	20617125	67	*	X02383	127731	20617412	20681387	63976	+	286	upstream	286	VWA5B1
chr1	22470580	22470699	120	*	X02496	54361	22443798	22470385	26588	-	194	upstream	194	WNT4
chr1	22470921	22471130	210	*	X02497	54361	22443798	22470385	26588	-	535	upstream	535	WNT4
chr1	22889455	22889518	64	*	X02649	2046	22890004	22930087	40084	+	485	upstream	485	EPHA8
chr1	22961490	22961494	5	*	X02701	712	22963118	22966175	3058	+	1623	upstream	1623	C1QA
chr1	22963178	22963474	297	*	X02702	712	22963118	22966175	3058	+	0	inside	59	C1QA
chr1	33649022	33649114	93	*	X03199	55223	33611003	33647671	36669	-	1350	upstream	1350	TRIM62
chr1	35371908	35372110	203	*	X03372	58512	35331037	35370984	39948	-	923	upstream	923	DLGAP3
chr1	38100834	38100834	1	*	X03809	284654	38076951	38100595	23645	-	238	upstream	238	RSPO1
chr1	38101429	38101638	210	*	X03810	284654	38076951	38100595	23645	-	833	upstream	833	RSPO1
chr1	38101660	38101794	135	*	X03811	284654	38076951	38100595	23645	-	1064	upstream	1064	RSPO1
chr1	38231663	38231680	18	*	X03822	284656	38179553	38230824	51272	-	838	upstream	838	EPHA10
chr1	38231812	38232115	304	*	X03823	284656	38179553	38230824	51272	-	987	upstream	987	EPHA10
chr1	40368819	40368983	165	*	X04038	4610	40361096	40367687	6592	-	1131	upstream	1131	MYCL
chr1	47017652	47017801	150	*	X04083	148930	47011316	47016887	5572	-	764	upstream	764	KNCN
chr1	47017976	47018217	242	*	X04084	148930	47011316	47016887	5572	-	1088	upstream	1088	KNCN
chr1	47406778	47406885	108	*	X04101	1579	47394846	47407156	12311	-	0	inside	270	CYP4A11
chr1	47427218	47427493	276	*	X04102	260293	47427036	47516423	89388	+	0	inside	181	CYP4X1
chr1	65612559	65612723	165	*	X04359	205	65613232	65697828	84597	+	508	upstream	508	AK4
chr1	76539173	76539307	135	*	X04371	256435	76540389	77096669	556281	+	1081	upstream	1081	ST6GALNAC3
chr1	85360258	85360377	120	*	X04378	23566	85279086	85358896	79811	-	1361	upstream	1361	LPAR3
chr1	89871209	89871254	46	*	X04412	400759	89873238	89890493	17256	+	1983	upstream	1983	GBP1P1
chr1	108506833	108506952	120	*	X04474	100873946	108507065	108537229	30165	+	112	upstream	112	VAV3-AS1
chr1	110082378	110082527	150	*	X04489	83873	110082494	110088455	5962	+	0	overlapStart	0	GPR61
chr1	110653205	110653210	6	*	X04492	164153	110655062	110656569	1508	+	1851	upstream	1851	UBL4B
chr1	110653270	110653494	225	*	X04493	164153	110655062	110656569	1508	+	1567	upstream	1567	UBL4B
chr1	110654419	110654545	127	*	X04494	164153	110655062	110656569	1508	+	516	upstream	516	UBL4B
chr1	110654726	110654952	227	*	X04495	164153	110655062	110656569	1508	+	109	upstream	109	UBL4B
chr1	110692076	110692205	130	*	X04520	388662	110693132	110744823	51692	+	926	upstream	926	SLC6A17
chr1	110992851	110992970	120	*	X04553	84432	110993788	110999976	6189	+	817	upstream	817	PROK1
chr1	110993931	110994080	150	*	X04554	84432	110993788	110999976	6189	+	0	inside	142	PROK1
chr1	111062474	111062608	135	*	X04570	3744	111059839	111061797	1959	-	676	upstream	676	KCNA10
chr1	111063269	111063388	120	*	X04571	3744	111059839	111061797	1959	-	1471	upstream	1471	KCNA10
chr1	111174551	111174700	150	*	X04643	3737	111136202	111174096	37895	-	454	upstream	454	KCNA2
chr1	111174716	111174985	270	*	X04644	3737	111136202	111174096	37895	-	619	upstream	619	KCNA2
chr1	111175991	111176125	135	*	X04645	3737	111136202	111174096	37895	-	1894	upstream	1894	KCNA2
chr1	111821383	111821547	165	*	X04699	149620	111823146	111828730	5585	+	1598	upstream	1598	CHIAP2
chr1	111822103	111822237	135	*	X04700	149620	111823146	111828730	5585	+	908	upstream	908	CHIAP2
chr1	115397617	115397751	135	*	X05126	6847	115397455	115537990	140536	+	0	inside	161	SYCP1
chr1	115881850	115881859	10	*	X05136	4803	115828537	115880857	52321	-	992	upstream	992	NGF
chr1	115882037	115882156	120	*	X05137	4803	115828537	115880857	52321	-	1179	upstream	1179	NGF
chr1	116384967	116385101	135	*	X05163	4808	116378999	116383747	4749	-	1219	upstream	1219	NHLH2
chr1	116385636	116385770	135	*	X05164	4808	116378999	116383747	4749	-	1888	upstream	1888	NHLH2
chr1	119910956	119911075	120	*	X05251	51179	119911402	119936751	25350	+	326	upstream	326	HAO2
chr1	145549381	145549895	515	*	X05279	148741	145549209	145568526	19318	+	0	inside	171	ANKRD35
chr1	146696945	146697079	135	*	X05295	2330	146655884	146697230	41347	-	0	inside	150	FMO5
chr1	147245415	147245834	420	*	X05301	2702	147228332	147245484	17153	-	0	overlapStart	0	GJA5
chr1	147246435	147246569	135	*	X05302	2702	147228332	147245484	17153	-	950	upstream	950	GJA5
chr1	152386755	152386868	114	*	X05344	49860	152381719	152386750	5032	-	4	upstream	4	CRNN
chr1	152388600	152388779	180	*	X05345	49860	152381719	152386750	5032	-	1849	upstream	1849	CRNN
